,gid,black,white,black_rating,white_rating,move_list,winner
3999,47554,Leoni,Niall,1942,2218,a2g7h7h6j5j4l3j6k5i6k6j8j7i8i7g9e10f8k8j10h9h8j9l2k3i10i9g11h11h10g10f11f10d12e12e11d9c11c12d11k10k9m8k7m6m7l8l7e7e6f6g4f5f4d5d8e8e5c7d7b9e2e4,black
4000,47421,Niall,sil,2218,1328,l12g7e8f6e6e7c8d7c7d6c6d8c9d2d3e2b3c1a2c3b4b5d4c4f3g1h2c10d9d10f9e11g10f12h11g13i12d5c5g2g3e9f8h12i11f10g9g11h10e4e3f7h1i13h13,black
4001,47410,Niall,elliott,2218,1505,l12k11g7g5h5f9i9i3e5e6h4h8j7i6k5k3j4g3h3i1j3h11g10f11g11f13g12g13h12i4k2j5k4h13i12i13j12j13k12,black
4002,47409,Johan,Niall,1451,2218,a13g7d11f8h9j6d8e6d6d9b10c8d7c9i6h8k7i8l5k4,white
4003,47406,Niall,K Fyhn,2218,1612,m11h7g7g6h6i4e6e5f5g3h3e7j4i5k5j7i6j5g4h5c8c9d8d7b7c5c6d9e8e9g8e4d6g9f9e11d11e10f10,black
4004,47177,xespok,Niall,1512,2218,b12*h4h6k4h9e7d10k7k5f9f8e9e8d9d8g7g8h8g9j9j8k8j7k6j6,white
4005,47175,Niall,wyprzecap teraz i potem,2218,1609,m11d3i5i7h7h8g8f10e10h4f4h6e7f5j3d11e11d12j11i6g5f7d8f6e5d10c10b12e9e6k6k5,white
4006,47173,elliott,Niall,1505,2218,f11*i7i5j5h9g9j4h6h5f6g6f7f9e9d11c11d10c10e5g4d9c8c9a10b12c12b10g7g10f10e12f11f12j9g11j8j10i10h12i11i12k11j11l9k9l8k8b11a11e10l7,white
4007,46861,Jose Maria Grau Ribas,Niall,2083,2218,m11g7e7e8c9d5d7f6e5f3e3e4g4c10i8h10d9d10g9f11g11h8f8g10j9j8i9h9i7j5h7h4j3,black
4008,46860,Niall,Roel,2218,1467,l12g7i6h8j7i9k8k10j10j11i11h13g12j4h5i3g4h2f3,black
4009,46859,elliott,Niall,1505,2218,b12*j3i6i5g7k6k5f7f8d9d10e9e10b11c10b10c9b9b12c11c12f9f10d11d12e11e12f11f12g11g12h11h12i11i12j11j12l11k11l10k10l9j9k8j8i7k7m6l6m5l5m4l3,white
4010,46441,Niall,dudewheresmybrain,2218,1622,l12*g7g8f8e10d10c11d11e9d9e7e8g6h6h5i5j3k3l1k2k1j2j1i2i1f3g2d3g3f4g4c8d6c6c7a8b8a9b9a10b10,white
4011,46440,Nicky,Niall,1580,2218,m11g7i6i5k4j6j5h8i7i8j7j8k8k7f7f8d9d10e9e10f9g11b11c10b10c9b9c8b8k3c6d5c5d3d4e3f3e4f4c4e6d6f10e12e11d12d11c12b12c11,white
4012,46437,Niall,elliott,2218,1505,l12*g7f9e9f8e8f7e7d11c11d10c10b13c12c13e11d12e10e12g11f11g10f10h8i4i5h6g6g5f6f5j4k2e4d6j3h5i6,black
4013,45678,Niall,K Fyhn,2218,1612,l12i7g7g5h5i3e5f4e4e6h4f9h8h9g9f11e9e10d10c12b12c11b11c10b10c9b9c7c8e7j8h3g4g3f5e3f3g1j4j9i10h10i9i8,white
4014,45677,zosia11,Niall,1466,2218,c2*k10g7i7i6k5j8h7g10h9j6h6i4i11g5j4i5k6j9j7h10e9f9f7g6f5f6d7d11f10g9d10e4d6g3m7l6g4i2m5j3k3m6k7k8,white
4015,45675,Niall,Shawn,2218,1423,m11l10i9j11e10g10h6f9h11j9j7k5i6l6h4j8i8,black
4016,45365,Niall,KaWoTan,2218,1654,l12g7i6i9d9e6h8k2g5g6h5e12d11h2i2h4g4f10g10,black
4017,45364,na_wspak,Niall,2034,2218,a3f6h6g8i7h9g6f7i9i8k7i11k10k9l9g12l8k11j11i13l12j2g5g4j4j3i4h3l2k5k6l7g9k8l5h8j8i10f8g7c9h10d10d7c7c8a9b7b8c10b10d11c11d4d5d6c6e4e5f5f4,black
4018,45362,Niall,Richie/Jimmi_Bones,2218,1290,l12*f8f6g6f7g7g5i4g9h8e10h9h7j5i7g8h5k5i5j7i10j9i11d9,black
4019,45359,Shawn,Niall,1423,2218,l12h8j8j5i7h6l4k6d8e6g6h4f5f4g4h2h3i2e4f3e3e5j3d10e7i3i5i6h5f9b11c9h7g7m5l7d9c10a10b8,white
4020,45306,Niall,jpa,2218,1487,l12g7e7e8c9c10f8f5f7h4e5e6c7f3e3e4c5c6g4g5i4i6d6,black
4021,45305,albido,Niall,1545,2218,a3g6d8d9g7f9b10e6c7d4b5b6c5c6d6d5e5c8c9d7f6g4g5h4j4i5j5i6j6i8i7h8h7b11c10c11d10d11e10e11f10f11h9h10j9i12k11k7i9j10l9k9m7l8m8l6i10h12g11g10,white
4022,45302,Niall,zosia11,2218,1466,l12d3g6g8f8g7f7e10j8g9k6k5i6i5j5j4h6g5l3i3e4e6f5f6k4l2h5i2b5h4c7d8c9c8a9b6,white
