,gid,black,white,black_rating,white_rating,move_list,winner
19305,1242521,solimo,Nacho Castro,1941,1594,a3c5j9j7h8h5e6f7d8f4g5h3j4i3k6k5i6k2l2k3m3l3m2l5b5d5e4e5g3g4a7b7a8c4b4c10b10b11e9b8a9c9,white
19306,1241988,Miodrag Smiljevic,solimo,1432,1941,f10*l5k7g6f8h7g9i8h10j9j10i10h12j12i11l8l9,white
19307,1241987,solimo,kmilop,1941,1335,a3,black
19308,1241986,Héctor Máximo Canteros,solimo,1464,1941,f11*g7h4e5f6d7d8e7f10h9g11i10i11h11g13e9d11g12f13c11d10c10d9b9d6b7c5e6c8c6b8h12h13i12i13k11k12l12l11j13j12f12e13e12d13d12c13c12b13m10m11a13b12a12b11a11b10a10c9a8a9,white
19309,1241985,solimo,mass,1941,1645,a3j5g7g4h4g6h6h5i5f11e11f9h8h10g10f10g11j1j3k2i2i1h2h1g2g1f2f1e2e1d2d1c2c1a2b1a1f13f12e13e12d13c12,black
19310,1241984,bruteiker,solimo,1590,1941,d4*e5f3g4h3e3f5e4e7h5f8h7i8g9h6k5i10i6k2l2k4j4k3i3j1i2i1h2f13f11e12h12g12h11g10f10g11d11,black
19311,1241978,solimo,matter,1941,1698,a3g7d9d6f7g5i4i5j5j4l3j7i7i6j6k4l4k5m5l5m4k8l7l6m6j9j10l9k7i8i9j8k6j3k2g9f9g8f5f6e6e7d7d8b9c8a8b8a9c11e10e11b10c12f10e3d4b4b7c5d5,black
19312,1241972,Belle Basti,solimo,1546,1941,i6*i8g11i10i11h11g13e9e7f7g5h5h6g6j2h4h3k2d11e10e12f12k5j5j4i3f8g7h8e8f11g12i7d12e11g9h9c11d10c10d9b9c9b10c8b8g4c6d5c7e6c5d3d4e3e4f3c3c2b3,black
19313,1241965,solimo,MichaeI X,1941,1606,a3e8j9i7f8h5g6g5f6f5d6e4c5d3b4b3c3d1b2b5c4c6d5e6d7e7c9d10b11b12c11c12d11d12e11e12f11f12g11g12h11h12i11i12k11j11k10j10k9i10i9h10h9g10g9f10e9,black
19314,1240893,tuerda,solimo,1818,1941,m9e4i5j3h4h3i3j1l2l3g4h8e9d12d11c12e11e12f11f12g11g12h11h12i11i12j11j13k12k13m12l12m11l11m10l10l9f9f8k10k9g7f7g5h7g8j7h5j4j8c5e6c7d8i8i9h9j10b12c11b11c10a10b9a9b8a8e5b6c4d4e2e3g1f3j2h2,black
19315,1240891,solimo,bruteiker,1941,1590,a3f6j9h5j4i6j6j7i7j5l4k5m5l7l6i11h10g11h11g13h12h13j12i12k10k7k6i8h8k3m2m1l2l1k2j3h9k1j2j1i2i1h2h1g2g1f2f1e2e1d2d1c2c1a2,black
19316,1237251,tuerda,solimo,1818,1941,a5i10d10d9k10j8g7f9h8g11c10c8g10f11f10d12b12e10f7e9e11h7g8g6f6g4h5i3e5e4j4k2f4g2h3i1j2g3j3,black
19317,1237250,CoColino,solimo,2046,1941,a3i10k10k9i5g8f8e10d10e7d9g6h7g7h9h8i8i7k6j7l7k8m8k11l10j5l4k3m2m1l2l1k2k1j2j11l11,black
19318,1237249,enhorning,solimo,1552,1941,a2i10f9e11g10g11f11e13c12g7e8e9f8d12d10d9e10f5d6d5e5f3c5c11d11d4g5f6f4d7j5i6j6i7j8j7l6k9k7h9a9c8,white
19319,1232605,solimo,Aaron Coombs,1941,1322,a3f7j9i5j5j4l3k4l4k5l5l2g6g8h7i8h8h9g9h4k3k2j3j2g3i3f5f11e10d8d12,black
19320,1232602,Aaron Coombs,solimo,1322,1941,f7*e6d8c8c9f7f8e8d10e9e10g5h9j8j9i9h11h10g11f11g10h6j10f10f9g9h7h8j6k6k4l4l2,white
19321,1231472,solimo,CoColino,1941,2046,a3e6i6i10g9e9g10h7i7h8i8h9i9h10m9k9l8l9m8l11j10j9l10k11k10g11f8f9g8f11c10d11b12d8c8c9a10b11k7i12j11j12i11h12,white
19322,1231471,Nacho Castro,solimo,1594,1941,b3*e3e4g7h4f4f5e5e6i4h6g5g6f6f7e7e8i6i5k4j7k6k7h8j5j6k5m4l5,white
19323,1231470,solimo,CoColino,1941,2046,a3i5e7d5e5e9h7i10k9k12l11k11l10l12j11k10g10f3h4g6f8e8f7f5e6f4e4e3b5d4c6b4c4d2e2d3c3c2b3b1l4k4l3k5l5k6l6k7j5j8l7j10j4i6,white
19324,1231335,enhorning,solimo,1552,1941,b1*g7f10i9i8g9g12e10d12c12d11c11d10c10d9c9d7d8e7e8g6h6i4k3j5b5c5b6c7h5h4g5g4f5f4e5e4c6d5d6c3k5j6l6k6l5k8,white
19325,1230301,solimo,lotka,1941,1493,a3d4h7d7g5g6i5h5j3h8g8e11f10f11i10h10j8j7m5l6m6k8l8k5l4j4k3j11l10k12h12h9k9h13g13,black
19326,1229125,solimo,CoColino,1941,2046,a3i10e8d12g10e6b7c4c5e10f9f10g9g11h11g12b12d9a10c9h10h12j11i11j9k12l11l12b9b11c10b10j12j10,white
19327,1229123,solimo,CoColino,1941,2046,a3e6i7i10f10i5g6h4f5f6g5e4g3f9h7g7h6g9h9g10h10g12g11e13f12f13e12d13c11c12b12d11d10e10e8f7c7d5b6b5c5d3h11h13i12i13l11k12l12k11l10k10l9k9l8k7h12g13k8i8c4c2,white
19328,1228937,solimo,Christian K,1941,1506,b3d6i7i6k5k4j5j4i5i4g5h5f7f8g7g8h7h9i9h11i11i10h10g11g10f11f10e11d10c12k9j11j10h13i12i13k12j8j9i8c9d8c7c8e8e10b12c11b11c10b10d9a9b7b8c6d7f6g6f5e7g4h4i2h3,black
19329,1228936,solimo,Christian K,1941,1506,b3*h5f6i9i8g7f9h8i3h3h4f5g5d7e8c9d10b11b12c11c12k3j4k4j5k5j6l6l7k7k8j8h11d11d12e11e12g11f13g12g13i12j10h12h10f11e6d6e5d5e4d4e3d3e1e2f1f2g1g2h1i2,black
19330,1228935,solimo,Nacho Castro,1941,1594,a3c5h7h6f6k9j5g9h9i7e9e10f10f9h8g10h10g7i6j4k3k4i5i4h5g4h4i2h3h2f3,black
